date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:09:07	170709/170709	------	200	untouched ('')	image/jpeg	etag:W/%2229ad5-17d91c4303e%22	https://bigfontblog.azurewebsites.net/content/images/2021/12/geograph-4453746-by-Kenneth--Allen.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2021/12/geograph-4453746-by-Kenneth--Allen.jpg	(from https://bigfontblog.azurewebsites.net/)
02:09:07	27255/27255	------	200	untouched ('OK')	text/html	etag:W/%226a77-uU9+ReynM99d/2FNXJ5lE3sKhuU%22	https://bigfontblog.azurewebsites.net/he-they-from-my-perspective-as-a-middle-aged-privileged-white-male-in-western-canada/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/he-they-from-my-perspective-as-a-middle-aged-privileged-white-male-in-western-canada/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	282692/282692	------	200	untouched ('')	image/jpeg	etag:W/%2245044-17cdc8862bc%22	https://bigfontblog.azurewebsites.net/content/images/2021/11/photograph-of-mx-shaun-luttin-2.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2021/11/photograph-of-mx-shaun-luttin-2.jpg	(from https://bigfontblog.azurewebsites.net/)
02:09:07	19311/19311	------	200	untouched ('OK')	text/html	etag:W/%224b6f-W23tb2wxlixPEDvr6VlMsYUQetM%22	https://bigfontblog.azurewebsites.net/enable-long-paths-in-windows-with-powershell/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/enable-long-paths-in-windows-with-powershell/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:31%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w600/2021/05/Screenshot-2021-05-18-102408-1.png	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w600/2021/05/Screenshot-2021-05-18-102408-1.11.delayed	(from https://bigfontblog.azurewebsites.net/)
02:09:07	23848/23848	------	200	untouched ('OK')	text/html	etag:W/%225d28-3dksWhh2E3JOPWvjFyH6CIeeUek%22	https://bigfontblog.azurewebsites.net/determine-whether-two-c-builds-result-in-binaries-that-a-functionally-identical-within-reasonable-limits/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/determine-whether-two-c-builds-result-in-binaries-that-a-functionally-identical-within-reasonable-limits/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	281191/281191	------	200	untouched ('')	image/jpeg	etag:W/%2244a67-17b42699950%22	https://bigfontblog.azurewebsites.net/content/images/2021/08/WIN_20210813_19_06_55_Pro.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2021/08/WIN_20210813_19_06_55_Pro.jpg	(from https://bigfontblog.azurewebsites.net/)
02:09:07	20629/20629	------	200	untouched ('OK')	text/html	etag:W/%225095-k0ArenDeFJ6KybiXRHbWxZJuTqQ%22	https://bigfontblog.azurewebsites.net/how-i-do-salary-negotiation-as-an-employee/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/how-i-do-salary-negotiation-as-an-employee/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	21074/21074	------	200	untouched ('OK')	text/html	etag:W/%225252-9RqQ6Nm5bTAdhz5otBc/rAB/xms%22	https://bigfontblog.azurewebsites.net/how-to-release-a-locked-port-in-windows-from-powershell/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/how-to-release-a-locked-port-in-windows-from-powershell/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	18766/18766	------	200	untouched ('OK')	text/html	etag:W/%22494e-0Sajt/r6zYsBDgRD8qgOp0oyhAc%22	https://bigfontblog.azurewebsites.net/run-a-specific-vs-code-launch-configuration-from-the-command-palette/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/run-a-specific-vs-code-launch-configuration-from-the-command-palette/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	20723/20723	------	200	untouched ('OK')	text/html	etag:W/%2250f3-K9B4y0aSxr+1jpunUdSyaVFSBes%22	https://bigfontblog.azurewebsites.net/for-me-a-quality-code-base-is-not-about-the-craft-its-about-long-term-feature-delivery-velocity/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/for-me-a-quality-code-base-is-not-about-the-craft-its-about-long-term-feature-delivery-velocity/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	27380/27380	------	200	untouched ('OK')	text/html	etag:W/%226af4-68I/NpxaY3v01CxHkZBruVij/hU%22	https://bigfontblog.azurewebsites.net/handling-the-perpetual-problem-re-time-spent-improving-code-quality-vs-time-spent-creating-new-features-in-a-way-that-fosters-career-satisfaction-and/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/handling-the-perpetual-problem-re-time-spent-im/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	292441/292441	------	200	untouched ('')	image/jpeg	etag:W/%2247659-17a1af4c94d%22	https://bigfontblog.azurewebsites.net/content/images/2021/06/frc-perspective-sky.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2021/06/frc-perspective-sky.jpg	(from https://bigfontblog.azurewebsites.net/)
02:09:07	19306/19306	------	200	untouched ('OK')	text/html	etag:W/%224b6a-nqqB7yEa1wPIHZeQB23UMrwBDp8%22	https://bigfontblog.azurewebsites.net/online-pilates-resources/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/online-pilates-resources/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	21959/21959	------	200	untouched ('OK')	text/html	etag:W/%2255c7-6BQfoSpoFtOda1yHjV9ZUHMdbpg%22	https://bigfontblog.azurewebsites.net/what-connection-string-do-we-use-to-connect-the-azure-cosmos-db-data-migration-tool-to-the-cosmos-db-emulator/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/what-connection-string-do-we-use-to-connect-the-azure-cosmos-db-data-migration-tool-to-the-cosmos-db-emulator/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	32254/32254	------	200	untouched ('OK')	text/html	etag:W/%227dfe-gNCSu67p9+PbrkVurGeUXgUbc0I%22	https://bigfontblog.azurewebsites.net/list-all-the-keyboard-shortcuts-that-are-available-in-powershell/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/list-all-the-keyboard-shortcuts-that-are-available-in-powershell/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	57053/57053	------	200	untouched ('')	image/png	etag:W/%22dedd-179808284b3%22	https://bigfontblog.azurewebsites.net/content/images/2021/05/Screenshot-2021-05-18-102408-1.png	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2021/05/Screenshot-2021-05-18-102408-1.png	(from https://bigfontblog.azurewebsites.net/)
02:09:07	27695/27695	------	200	untouched ('OK')	text/html	etag:W/%226c2f-MIWAnSSgKxsIOuGKlUGoCkt5FXs%22	https://bigfontblog.azurewebsites.net/devops-praxis/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/devops-praxis/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	18171/18171	------	200	untouched ('OK')	text/html	etag:W/%2246fb-Alvo4AOkYr1YMGxSoOboA1Woqig%22	https://bigfontblog.azurewebsites.net/find-your-business-in-british-columbia-by-business-number/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/find-your-business-in-british-columbia-by-business-number/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	18976/18976	------	200	untouched ('OK')	text/html	etag:W/%224a20-PNF0tbAtM/i2UKxtXxgdRyFVzu0%22	https://bigfontblog.azurewebsites.net/getenumerator-and-getasyncenumerator-both-return-a-new-instance-of-an-enumerator/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/getenumerator-and-getasyncenumerator-both-return-a-new-instance-of-an-enumerator/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	21562/21562	------	200	untouched ('OK')	text/html	etag:W/%22543a-kB0OjyY1PkZ7O7tTrftBSF/9XCY%22	https://bigfontblog.azurewebsites.net/install-and-use-stylecop-in-a-net-or-net-core-project-from-the-command-line/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/install-and-use-stylecop-in-a-net-or-net-core-project-from-the-command-line/index.html	(from https://bigfontblog.azurewebsites.net/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:35%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w2000/2020/11/garden-P1014289-small.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w2000/2020/11/garden-P1014289-small.17.delayed	(from https://bigfontblog.azurewebsites.net/about/)
02:09:07	86659/86659	------	200	untouched ('')	application/javascript	etag:W/%2262f659d6-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	C:/dev/shaunluttin/website-archives/bigfont.ca/code.jquery.com/jquery-3.2.1.min.js	(from https://bigfontblog.azurewebsites.net/)
02:09:07	1912/1912	------	200	untouched ('')	application/javascript	etag:W/%22778-16d11a65888%22	https://bigfontblog.azurewebsites.net/assets/built/jquery.fitvids.js?v=3e32194df1	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/assets/built/jquery.fitvidsc03d.js	(from https://bigfontblog.azurewebsites.net/)
02:09:07	1009/1009	------	200	untouched ('')	application/javascript	etag:W/%223f1-16d11a65838%22	https://bigfontblog.azurewebsites.net/assets/built/infinitescroll.js?v=3e32194df1	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/assets/built/infinitescrollc03d.js	(from https://bigfontblog.azurewebsites.net/)
02:09:07	59674/59674	------	200	untouched ('')	image/jpeg	etag:W/%22e91a-157cc093ce0%22	https://bigfontblog.azurewebsites.net/content/images/2016/10/business_casual_cropped_square.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2016/10/business_casual_cropped_square.jpg	(from https://bigfontblog.azurewebsites.net/about/)
02:09:07	136038/136038	------	200	untouched ('')	image/jpeg	etag:W/%2221366-175fd395d49%22	https://bigfontblog.azurewebsites.net/content/images/2020/11/garden-P1014289-small.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2020/11/garden-P1014289-small.jpg	(from https://bigfontblog.azurewebsites.net/about/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:37%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w2000/2021/02/2020_12_21_snow-at-cafe-small.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w2000/2021/02/2020_12_21_snow-at-cafe-small.19.delayed	(from https://bigfontblog.azurewebsites.net/work-bibliography/)
02:09:07	348096/348096	------	200	untouched ('')	image/jpeg	etag:W/%2254fc0-1776af5e77b%22	https://bigfontblog.azurewebsites.net/content/images/2021/02/2020_12_21_snow-at-cafe-small.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/2021/02/2020_12_21_snow-at-cafe-small.jpg	(from https://bigfontblog.azurewebsites.net/work-bibliography/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:39%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w2000/2022/08/drawing_circa_july_2022.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w2000/2022/08/drawing_circa_july_2022.1b.delayed	(from https://bigfontblog.azurewebsites.net/avoid-leaving-powershell-side-effects-on-the-pipeline/)
02:09:07	26387/26387	------	200	untouched ('OK')	text/html	etag:W/%226713-F8lWIysT8C3Re2mUMtUftrUsE9A%22	https://bigfontblog.azurewebsites.net/tag/powershell/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/tag/powershell/index.html	(from https://bigfontblog.azurewebsites.net/avoid-leaving-powershell-side-effects-on-the-pipeline/)
02:09:07	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:40%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w2000/2022/04/219787656_571590897338872_541651510636316.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w2000/2022/04/219787656_571590897338872_541651510636316.1c.delayed	(from https://bigfontblog.azurewebsites.net/copy-large-files-over-a-windows-remote-desktop-connection/)
02:09:07	23920/23920	------	200	untouched ('OK')	text/html	etag:W/%225d70-RetoCcR5++u0LoueN0EtPb8XBLg%22	https://bigfontblog.azurewebsites.net/tag/windows/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/tag/windows/index.html	(from https://bigfontblog.azurewebsites.net/copy-large-files-over-a-windows-remote-desktop-connection/)
02:09:07	22894/22894	------	200	untouched ('OK')	text/html	etag:W/%22596e-4GEKpd25pPN8iY3p5plNQJ221mM%22	https://bigfontblog.azurewebsites.net/push-and-pull-files-between-windows-10-and-wsl2-file-systems-with-git/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/push-and-pull-files-between-windows-10-and-wsl2-file-systems-with-git/index.html	(from https://bigfontblog.azurewebsites.net/copy-large-files-over-a-windows-remote-desktop-connection/)
02:09:07	23634/23634	------	200	untouched ('OK')	text/html	etag:W/%225c52-XErV4i5xoOyGtWMgBy8rjmlHGMQ%22	https://bigfontblog.azurewebsites.net/starting-with-wsl-2/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/starting-with-wsl-2/index.html	(from https://bigfontblog.azurewebsites.net/copy-large-files-over-a-windows-remote-desktop-connection/)
02:09:07	22897/22897	------	200	untouched ('OK')	text/html	etag:W/%225971-/sm2zl8J59CDPlJt8pX3Zpr0ewg%22	https://bigfontblog.azurewebsites.net/to-pieces-of-incredibly-useful-and-free-screen-capture-software/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/to-pieces-of-incredibly-useful-and-free-screen-capture-software/index.html	(from https://bigfontblog.azurewebsites.net/copy-large-files-over-a-windows-remote-desktop-connection/)
02:09:08	11868/11868	------	200	untouched ('OK')	text/html	etag:W/%222e5c-WaWNyftGZycRx9rBPsIHgY4fYuA%22	https://bigfontblog.azurewebsites.net/tag/dotnet-core/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/tag/dotnet-core/index.html	(from https://bigfontblog.azurewebsites.net/attach-vs-code-to-dotnet-test/)
02:09:08	19052/19052	------	200	untouched ('OK')	text/html	etag:W/%224a6c-aL78n+7PgoiXa6jePerzyz10Z7k%22	https://bigfontblog.azurewebsites.net/dotnet-watch-run-usage-examples/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/dotnet-watch-run-usage-examples/index.html	(from https://bigfontblog.azurewebsites.net/attach-vs-code-to-dotnet-test/)
02:09:08	21089/21089	------	200	untouched ('OK')	text/html	etag:W/%225261-abDgxCFbJWzgEJezx+nyinfrnkM%22	https://bigfontblog.azurewebsites.net/dotnet-restore-without-an-internet-connection/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/dotnet-restore-without-an-internet-connection/index.html	(from https://bigfontblog.azurewebsites.net/attach-vs-code-to-dotnet-test/)
02:09:08	22404/22404	------	200	untouched ('OK')	text/html	etag:W/%225784-QfxqI1nL3I3XqrPLptP/dsYkhq8%22	https://bigfontblog.azurewebsites.net/net-core-what-do-all-the-versions-mean/	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/net-core-what-do-all-the-versions-mean/index.html	(from https://bigfontblog.azurewebsites.net/attach-vs-code-to-dotnet-test/)
02:09:08	156/156	------	302	error ('Found')	text/html	date:Fri,%2009%20Dec%202022%2010:05:43%20GMT	https://bigfontblog.azurewebsites.net/content/images/size/w2000/2021/12/geograph-4453746-by-Kenneth--Allen.jpg	C:/dev/shaunluttin/website-archives/bigfont.ca/bigfontblog.azurewebsites.net/content/images/size/w2000/2021/12/geograph-4453746-by-Kenneth--Allen.1d.delayed	(from https://bigfontblog.azurewebsites.net/task-on-a-dark-night-find-a-ball-that-fell-into-a-pothole-in-a-road-that-has-several-potholes/)
